Current Epoch,param loss weight,Train Total Loss,Train Param Loss,Train image Similarity L1 Loss,train_pearson,Val Total Loss,Val Param Loss,Val image Similarity L1 Loss,Val pearson
143,1.000000000000000,15.989810627698898,5.704501628875732,10.285308837890625,0.883833609323018,14.529860253334045,4.988318443298340,9.541540145874023,0.898418190243236
144,1.000000000000000,15.395584677457810,5.540171623229980,9.855413436889648,0.891982780567837,15.968015298843383,5.841441631317139,10.126571655273438,0.887078055625331
145,1.000000000000000,15.429902412891387,5.588360309600830,9.841539382934570,0.892137795890266,14.503587121963500,5.131244182586670,9.372344970703125,0.901325493249661
146,1.000000000000000,15.032325187921524,5.266342639923096,9.765981674194336,0.892868336643830,14.676285753250122,5.106607913970947,9.569678306579590,0.897552373867785
147,1.000000000000000,14.798364142179489,5.346583366394043,9.451784133911133,0.898976656440665,15.062700452804565,5.400052547454834,9.662647247314453,0.894453311135006
148,1.000000000000000,14.971859861612320,5.449110507965088,9.522746086120605,0.897358958518774,15.059301834106446,5.275954246520996,9.783344268798828,0.891028783820464
149,1.000000000000000,15.058769184350968,5.420870304107666,9.637893676757812,0.895011752612801,15.050032434463501,5.128571033477783,9.921463012695312,0.890786307917853
150,1.000000000000000,14.902116230726243,5.427783489227295,9.474332809448242,0.899372227023320,14.624090633392335,5.452952861785889,9.171134948730469,0.903569258416983
151,1.000000000000000,15.234406788349151,5.734083652496338,9.500321388244629,0.897095688490837,14.913782134056092,5.316186428070068,9.597595214843750,0.894989492181042
152,1.000000000000000,14.686025422811507,5.284085750579834,9.401933670043945,0.898936108890466,14.483191814422607,5.138951778411865,9.344240188598633,0.901260927935536
153,1.000000000000000,14.717770786285401,5.345001697540283,9.372766494750977,0.900827394033763,15.295209140777589,5.441919326782227,9.853288650512695,0.891901334184898
154,1.000000000000000,14.437508801221847,5.190145969390869,9.247363090515137,0.901116279232722,14.782707343101501,5.413585186004639,9.369120597839355,0.899551444248063
155,1.000000000000000,14.333089458942414,5.180978775024414,9.152110099792480,0.903654093630339,14.863452439308167,5.341416358947754,9.522031784057617,0.897367916004327
156,1.000000000000000,14.587899239063264,5.250651836395264,9.337246894836426,0.900809151322047,14.095565319061279,4.911316871643066,9.184248924255371,0.902361362830866
157,1.000000000000000,14.458484230041504,5.352684974670410,9.105797767639160,0.904527715413153,14.170667624473571,5.200492382049561,8.970174789428711,0.905922004825653
158,1.000000000000000,14.462152649164199,5.198521137237549,9.263635635375977,0.902060424275371,14.500892567634583,4.900044918060303,9.600843429565430,0.894935638072997
159,1.000000000000000,14.521283048391343,5.346288204193115,9.174993515014648,0.903972261859701,14.080928640365601,5.099248409271240,8.981679916381836,0.906688120084989
160,1.000000000000000,14.727774195671081,5.480324745178223,9.247455596923828,0.903164173692488,14.084406952857972,4.896431922912598,9.187974929809570,0.903728508919313
161,1.000000000000000,14.849933754205704,5.419216156005859,9.430719375610352,0.897681976114996,14.215910115242004,5.021259784698486,9.194647789001465,0.902265275819251
162,1.000000000000000,14.480587632656098,5.296033382415771,9.184551239013672,0.903237909910738,14.741523766517640,5.571025371551514,9.170498847961426,0.902307739481658
163,1.000000000000000,14.172316969633103,5.125502586364746,9.046813011169434,0.905649641982102,14.367706460952759,5.189465999603271,9.178240776062012,0.903736529814092
164,1.000000000000000,14.279830260276794,5.222432613372803,9.057396888732910,0.905194800940505,14.032878198623656,5.048110485076904,8.984768867492676,0.905237157118771
165,1.000000000000000,14.416689105033875,5.237501144409180,9.179188728332520,0.902363377637671,14.270939846038818,5.386207103729248,8.884730339050293,0.910015464816884
166,1.000000000000000,14.404994686841965,5.309916973114014,9.095077514648438,0.905103029676558,14.537812376022339,5.147275924682617,9.390534400939941,0.899609049617619
