Current Epoch,param loss weight,Train Total Loss,Train Param Loss,Train image Similarity SSIM Loss,train_pearson,train img l1,Val Total Loss,Val Param Loss,Val image Similarity SSIM Loss,Val pearson,Val img L1
1,1.000000000000000,26.627460069656372,26.627460479736328,0.511485099792480,0.696854681082564,20.395101547241211,25.167611846923830,25.167612075805664,0.463814228773117,0.751917188892030,17.640785217285156
2,1.000000000000000,25.075451376438142,25.075464248657227,0.471598118543625,0.743066678087698,18.087339401245117,23.835813770294191,23.835819244384766,0.465530723333359,0.742472233373017,17.855688095092773
3,1.000000000000000,24.006664357185365,24.006662368774414,0.461828082799911,0.754390676697115,17.498329162597656,22.602541904449463,22.602539062500000,0.462503612041473,0.745268160528507,17.753461837768555
4,1.000000000000000,22.497084171772002,22.497081756591797,0.462061196565628,0.753754668033175,17.483249664306641,22.250535058975220,22.250535964965820,0.455899268388748,0.757644365474447,17.160425186157227
5,1.000000000000000,21.587261424064636,21.587257385253906,0.456380218267441,0.761661794954658,17.060346603393555,20.606823797225953,20.606821060180664,0.451595574617386,0.763806603778572,16.958740234375000
6,1.000000000000000,20.507408156394959,20.507411956787109,0.447567254304886,0.769152937638680,16.736503601074219,20.141245298385620,20.141242980957031,0.445374965667725,0.771265218125281,16.586877822875977
7,1.000000000000000,19.390086585283278,19.390087127685547,0.448660463094711,0.766614390922217,16.795793533325195,18.466004924774168,18.466007232666016,0.452660769224167,0.773446995385344,16.525663375854492
8,1.000000000000000,18.656771504878996,18.656776428222656,0.445561617612839,0.775136256801237,16.454620361328125,19.737601709365844,19.737602233886719,0.457498639822006,0.758210376940225,17.156539916992188
9,1.000000000000000,18.632917964458464,18.632905960083008,0.442177534103394,0.774546547750839,16.368097305297852,18.554699864387512,18.554702758789062,0.455562114715576,0.765000073778107,16.920112609863281
10,1.000000000000000,18.243232039213179,18.243225097656250,0.446524560451508,0.771677189597180,16.537435531616211,17.925151357650758,17.925151824951172,0.447140306234360,0.771082369556528,16.513164520263672
11,1.000000000000000,17.725659712553025,17.725658416748047,0.444758832454681,0.778780232378482,16.189733505249023,17.577425384521483,17.577428817749023,0.447260648012161,0.772140898298926,16.426252365112305
12,1.000000000000000,17.466419316530228,17.466434478759766,0.440445393323898,0.778024861517250,16.210176467895508,16.548689184188841,16.548688888549805,0.433191359043121,0.783804772128659,15.865269660949707
13,1.000000000000000,17.205690050125121,17.205692291259766,0.443623691797256,0.776161607475209,16.254219055175781,16.619807453155516,16.619806289672852,0.428912222385406,0.787972778545337,15.640243530273438
14,1.000000000000000,16.535418864488602,16.535425186157227,0.435664772987366,0.783031281637090,15.900419235229492,16.455780568122865,16.455778121948242,0.434910506010056,0.781298945126733,15.968785285949707
